Mark Sequence Malloc     Size       Addr Line File
   6    43862 new         112 0x0132F150  323 \support\shape\shapemanager.cpp
   6    43863 new       34352 0x01674618  224 \support\shape\shapebinfile.cpp
   6    43865 new         112 0x0132F248  323 \support\shape\shapemanager.cpp
   6    43866 new        3120 0x0132F340  224 \support\shape\shapebinfile.cpp
   6    43868 new         112 0x01668370  323 \support\shape\shapemanager.cpp
   6    43869 new       82912 0x0167DD18  224 \support\shape\shapebinfile.cpp
   6    43871 new         112 0x01692180  323 \support\shape\shapemanager.cpp
   6    43872 new        1232 0x01692278  224 \support\shape\shapebinfile.cpp
   6    43874 new         112 0x016927D0  323 \support\shape\shapemanager.cpp
   6    43875 new       40816 0x016928C8  224 \support\shape\shapebinfile.cpp
   6    43877 new         112 0x01668468  323 \support\shape\shapemanager.cpp
   6    43878 new       55232 0x0169C8C0  224 \support\shape\shapebinfile.cpp
   6    43880 new         112 0x01668560  323 \support\shape\shapemanager.cpp
   6    43881 new       45120 0x016AA108  224 \support\shape\shapebinfile.cpp
   6    43883 new         112 0x01668658  323 \support\shape\shapemanager.cpp
   6    43884 new       43712 0x016B51D0  224 \support\shape\shapebinfile.cpp
   6    43886 new         112 0x01668750  323 \support\shape\shapemanager.cpp
   6    43887 new       39024 0x016BFD18  224 \support\shape\shapebinfile.cpp
   6    43889 new         112 0x01668848  323 \support\shape\shapemanager.cpp
   6    43890 new       62128 0x016C9610  224 \support\shape\shapebinfile.cpp
   6    43892 new         112 0x016D8948  323 \support\shape\shapemanager.cpp
   6    43893 new        2192 0x01668940  224 \support\shape\shapebinfile.cpp
   6    43895 new         112 0x01669258  323 \support\shape\shapemanager.cpp
   6    43896 new       62112 0x016D8A40  224 \support\shape\shapebinfile.cpp
   6    43898 new         112 0x016E7D68  323 \support\shape\shapemanager.cpp
   6    43899 new        1680 0x0152EFA8  224 \support\shape\shapebinfile.cpp
   6    43901 new         112 0x016E7E60  323 \support\shape\shapemanager.cpp
   6    43902 new       12400 0x016E7F58  224 \support\shape\shapebinfile.cpp
   6    43904 new         112 0x0152F6C0  323 \support\shape\shapemanager.cpp
   6    43905 new       12864 0x016EB050  224 \support\shape\shapebinfile.cpp
   6    43907 new         112 0x0152F7B8  323 \support\shape\shapemanager.cpp
   6    43908 new        7536 0x016EE318  224 \support\shape\shapebinfile.cpp
   6    43910 new         112 0x0152F8B0  323 \support\shape\shapemanager.cpp
   6    43911 new       11744 0x016F0110  224 \support\shape\shapebinfile.cpp
   6    43913 new         112 0x0152F9A8  323 \support\shape\shapemanager.cpp
   6    43914 new        2304 0x016F2F78  224 \support\shape\shapebinfile.cpp
   6    43916 new         112 0x0152FAA0  323 \support\shape\shapemanager.cpp
